year,gennme,state,quarter,totalRXImputed
2018,Febuxostat,PA,4,431
2018,Allopurinol,RI,1,1369
2018,Febuxostat,RI,1,36
2018,Allopurinol,RI,2,1364
2018,Febuxostat,RI,2,40
2018,Allopurinol,RI,3,1368
2018,Febuxostat,RI,3,45
2018,Allopurinol,RI,4,1289
2018,Febuxostat,RI,4,43
2018,Allopurinol,SC,1,2040
2018,Febuxostat,SC,1,147
2018,Allopurinol,SC,2,1974
2018,Febuxostat,SC,2,146
2018,Allopurinol,SC,3,1874
2018,Febuxostat,SC,3,136
2018,Allopurinol,SC,4,1988
2018,Febuxostat,SC,4,105
2018,Allopurinol,SD,1,102
2018,Febuxostat,SD,1,0
2018,Allopurinol,SD,2,112
2018,Febuxostat,SD,2,0
2018,Allopurinol,SD,3,129
2018,Febuxostat,SD,3,0
2018,Allopurinol,SD,4,140
2018,Febuxostat,SD,4,0
2018,Allopurinol,TN,1,4093
2018,Febuxostat,TN,1,217
2018,Allopurinol,TN,2,4200
2018,Febuxostat,TN,2,218
2018,Allopurinol,TN,3,4251
2018,Febuxostat,TN,3,227
2018,Allopurinol,TN,4,4415
2018,Febuxostat,TN,4,229
2018,Allopurinol,TX,1,7642
2018,Febuxostat,TX,1,560
2018,Allopurinol,TX,2,8141
2018,Febuxostat,TX,2,573
2018,Allopurinol,TX,3,8152
2018,Febuxostat,TX,3,563
2018,Allopurinol,TX,4,8058
2018,Febuxostat,TX,4,583
2018,Allopurinol,UT,1,614
2018,Febuxostat,UT,1,37
2018,Allopurinol,UT,2,567
2018,Febuxostat,UT,2,34
2018,Allopurinol,UT,3,493
2018,Febuxostat,UT,3,25
2018,Allopurinol,UT,4,606
2018,Febuxostat,UT,4,43
2018,Allopurinol,VA,1,4304
2018,Febuxostat,VA,1,307
2018,Allopurinol,VA,2,3903
2018,Febuxostat,VA,2,250
2018,Allopurinol,VA,3,3998
2018,Febuxostat,VA,3,279
2018,Allopurinol,VA,4,3892
2018,Febuxostat,VA,4,279
2018,Allopurinol,VT,1,305
2018,Febuxostat,VT,1,0
2018,Allopurinol,VT,2,332
2018,Febuxostat,VT,2,0
2018,Allopurinol,VT,3,396
2018,Febuxostat,VT,3,0
2018,Allopurinol,VT,4,328
2018,Febuxostat,VT,4,0
2018,Allopurinol,WA,1,6471
2018,Febuxostat,WA,1,270
2018,Allopurinol,WA,2,6505
2018,Febuxostat,WA,2,265
2018,Allopurinol,WA,3,6570
2018,Febuxostat,WA,3,236
2018,Allopurinol,WA,4,6470
2018,Febuxostat,WA,4,239
2018,Allopurinol,WI,1,4283
2018,Febuxostat,WI,1,381
